DATE,STATE,COUNTY,LATITUDE,LONGITUDE,SPECIES,IDNUMBER,SEX,RELATIVEAGE
8/1/2018,NY,JEFFERSON,44.09999,-75.775372,RACCOONS,NY181518,FEMALE,ADULT
10/9/2018,NY,NIAGARA,43.1956,-78.55551,RACCOONS,NY180347,MALE,ADULT
7/10/2018,NY,CLINTON,44.87345,-73.38634,"SKUNKS, STRIPED",NY181033,MALE,ADULT
10/5/2018,NY,CLINTON,44.99258,-73.36582,RACCOONS,NY181057,MALE,ADULT
10/16/2018,NY,CLINTON,44.63509,-73.56146,RACCOONS,NY181061,FEMALE,ADULT
9/4/2018,NY,OSWEGO,43.412447,-76.513375,RACCOONS,NY181246,MALE,ADULT
10/22/2018,NY,FRANKLIN,44.838782,-74.314129,RACCOONS,NY181579,MALE,ADULT
9/27/2018,NY,JEFFERSON,44.10087,-76.03615,RACCOONS,NY180582,MALE,ADULT
10/3/2018,NY,CLINTON,44.77462,-73.48484,RACCOONS,NY180520,MALE,ADULT
7/11/2018,NY,ERIE,43.03073,-78.52758,RACCOONS,NY180065,MALE,ADULT
9/25/2018,NY,JEFFERSON,44.0952,-75.95606,RACCOONS,NY180561,MALE,ADULT
10/4/2018,NY,JEFFERSON,44.24861,-75.72643,RACCOONS,NY180620,FEMALE,ADULT
7/14/2018,NY,ERIE,43.08443,-78.5387,RACCOONS,NY180174,MALE,ADULT
9/29/2018,NY,NIAGARA,43.25064,-78.60595,RACCOONS,NY181649,FEMALE,JUVENILE (YOY)
10/22/2018,NY,FRANKLIN,44.846413,-74.3471,RACCOONS,NY181580,MALE,ADULT
10/2/2018,NY,CLINTON,44.69234,-73.50504,RACCOONS,NY170941,MALE,ADULT
10/2/2018,NY,JEFFERSON,44.3142,-75.68089,RACCOONS,NY180592,MALE,ADULT
9/25/2018,NY,ESSEX,44.32835,-73.48291,RACCOONS,NY180503,FEMALE,ADULT
8/6/2018,NY,OSWEGO,43.45703,-76.362711,RACCOONS,NY181240,FEMALE,ADULT
7/16/2018,NY,NIAGARA,43.10014,-78.56609,RACCOONS,NY170614,MALE,ADULT
9/25/2018,NY,JEFFERSON,44.12899,-76.00488,RACCOONS,NY180562,MALE,ADULT
